FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|STATE_ALPHA|STATE_NUMERIC|COUNTY_NAME|COUNTY_NUMERIC|PRIMARY_LAT_DMS|PRIM_LONG_DMS|PRIM_LAT_DEC|PRIM_LONG_DEC|SOURCE_LAT_DMS|SOURCE_LONG_DMS|SOURCE_LAT_DEC|SOURCE_LONG_DEC|ELEV_IN_M|ELEV_IN_FT|MAP_NAME|DATE_CREATED|DATE_EDITED
967602|Toll Gate Hill|Summit|NY|36|Essex|031|441210N|0732834W|44.2028294|-73.4762402|||||247|810|Westport|01/23/1980|
967605|Tom Hill|Summit|NY|36|Columbia|021|420652N|0733221W|42.1145347|-73.539287|||||272|892|Copake|01/23/1980|10/10/2014
967649|Toms Hill|Summit|NY|36|Essex|031|441657N|0733732W|44.2825485|-73.6256908|||||561|1841|Jay Mountain|01/23/1980|
967670|Torment Hill|Summit|NY|36|Westchester|119|411354N|0735239W|41.231761|-73.8776368|||||181|594|Haverstraw|01/23/1980|
967675|Torpy Hill|Summit|NY|36|Genesee|037|430607N|0775935W|43.1020049|-77.9930687|||||205|673|Churchville|01/23/1980|
967677|Torrey Hill|Summit|NY|36|Jefferson|045|434355N|0760636W|43.7320119|-76.1099244|||||150|492|Sandy Creek|01/23/1980|
967679|Torry Hill|Summit|NY|36|Onondaga|067|425525N|0760323W|42.9236777|-76.0563113|||||299|981|Jamesville|01/23/1980|
967681|Tory Hill|Summit|NY|36|Dutchess|027|420103N|0734548W|42.0175915|-73.7634625|||||215|705|Clermont|01/23/1980|
967689|Tower Hill|Summit|NY|36|Orange|071|411232N|0741133W|41.2089832|-74.1923689|||||275|902|Sloatsburg|01/23/1980|
967690|Tower Hill|Summit|NY|36|Dutchess|027|414747N|0733758W|41.7964825|-73.632905|||||403|1322|Millbrook|01/23/1980|
967691|Tower Hill|Summit|NY|36|Genesee|037|430522N|0780651W|43.0895043|-78.1141828|||||220|722|Byron|01/23/1980|
967716|Townley Hill|Summit|NY|36|Chemung|015|421336N|0765648W|42.2267414|-76.9466293|||||574|1883|Big Flats|01/23/1980|
